"","n_wbc","pct_weak_identified","beta_sse_forward"
"1",5,53.3333333333333,0.0084808181309252
"2",5,66.6666666666667,0.0144734353936242
"3",5,46.6666666666667,0.00375487592962568
"4",5,60,0.00548059857440634
"5",5,66.6666666666667,0.0133955661889726
"6",5,60,0.0027128947767585
"7",5,66.6666666666667,0.0050717192030375
"8",5,40,0.0105102886069264
"9",5,60,0.00872805740043346
"10",5,73.3333333333333,0.00762838758868918
"11",5,60,0.0223906447075287
"12",5,60,0.0387410070574915
"13",5,66.6666666666667,0.00871205658288258
"14",5,40,0.00490742729644755
"15",5,60,0.0262575575694435
"16",5,60,0.0190662062361881
"17",5,73.3333333333333,0.00304845317565542
"18",5,53.3333333333333,0.00586297072712406
"19",5,60,0.00414689219053694
"20",5,80,0.0024108545071681
"21",5,53.3333333333333,0.0169880997055342
"22",5,66.6666666666667,0.0116388984501291
"23",5,73.3333333333333,0.0180346670099027
"24",5,80,0.0158222316794665
"25",5,73.3333333333333,0.0146741146998167
"26",5,60,0.00978342537759205
"27",5,80,0.00858559761119556
"28",5,73.3333333333333,0.0299068285269156
"29",5,86.6666666666667,0.164707541087842
"30",5,53.3333333333333,0.021653008474777
"31",5,73.3333333333333,0.00551411448164542
"32",5,60,0.0223191152081906
"33",5,60,0.0193917051000128
"34",5,100,0.214636957844996
"35",5,66.6666666666667,0.0321088090855691
"36",5,86.6666666666667,0.102980188289667
"37",5,66.6666666666667,0.0236330041719776
"38",5,73.3333333333333,0.0354788875896855
"39",5,60,0.0106253511213815
"40",5,60,0.0255532114229987
"41",5,66.6666666666667,0.0109062058856804
"42",5,53.3333333333333,0.0139129472028392
"43",5,86.6666666666667,0.0128893045006116
"44",5,73.3333333333333,0.0104130237897777
"45",5,66.6666666666667,0.0279884756784335
"46",5,66.6666666666667,0.0209249746365034
"47",5,73.3333333333333,0.0062906851318933
"48",5,53.3333333333333,0.0111792023714832
"49",5,60,0.0351223209856929
"50",5,73.3333333333333,0.0125074504805249
"51",5,80,0.015204994033493
"52",5,46.6666666666667,0.0297868054561122
"53",5,53.3333333333333,0.00846034563064788
"54",5,73.3333333333333,0.129636635155462
"55",5,46.6666666666667,0.0191656999684476
"56",5,53.3333333333333,0.0222551719364502
"57",5,60,0.0293563472482836
"58",5,53.3333333333333,0.0166808150298066
"59",5,53.3333333333333,0.0123026824085406
"60",5,73.3333333333333,0.0259418580353334
"61",5,66.6666666666667,0.00554424930463597
"62",5,66.6666666666667,0.0220784777367046
"63",5,46.6666666666667,0.0104504400471205
"64",5,73.3333333333333,0.0116890246739386
"65",5,53.3333333333333,0.0217872079133557
"66",5,73.3333333333333,0.183109221151243
"67",5,66.6666666666667,0.0165071539233316
"68",5,60,0.0229148629059295
"69",5,80,0.0260572277815077
"70",5,80,0.253043876689982
"71",5,80,0.209495148037168
"72",5,73.3333333333333,0.0144884369484838
"73",5,60,0.00734575693888701
"74",5,80,0.0157363369635422
"75",5,80,0.00920426899910956
"76",5,93.3333333333333,0.186445295212056
"77",5,80,0.00241621183587137
"78",5,60,0.0128482448877668
"79",5,93.3333333333333,0.110848100696133
"80",5,73.3333333333333,0.00423903008200654
"81",5,60,0.00412792109726313
"82",5,73.3333333333333,0.005569002857924
"83",5,66.6666666666667,0.0251839848527632
"84",5,40,0.0120140578972253
"85",5,60,0.00621010573069508
"86",5,53.3333333333333,0.0109839575804121
"87",5,46.6666666666667,0.0154291546803548
"88",5,66.6666666666667,0.0288406024105236
"89",5,80,0.0176976845806541
"90",5,73.3333333333333,0.00723049651190612
"91",5,60,0.0151422747368676
"92",5,60,0.123796065060865
"93",5,66.6666666666667,0.00437140240087613
"94",5,66.6666666666667,0.0217268270912268
"95",5,60,0.0294862102298556
"96",5,73.3333333333333,0.204885957904408
"97",5,53.3333333333333,0.0216183480914509
"98",5,60,0.00489602187196969
"99",5,60,0.0185152669459002
"100",5,66.6666666666667,0.00647198428587497
"101",6,50,0.0149645985199629
"102",6,75,0.0232218603200159
"103",6,50,0.0145577034197762
"104",6,50,0.0105000865851074
"105",6,56.25,0.0174979570916536
"106",6,62.5,0.00420339933454518
"107",6,62.5,0.00733056657151296
"108",6,50,0.024071412189932
"109",6,56.25,0.00235434820787675
"110",6,68.75,0.00881805320379094
"111",6,68.75,0.0268893823514194
"112",6,68.75,0.0293928935477017
"113",6,68.75,0.00589170139037591
"114",6,68.75,0.00885687389213118
"115",6,43.75,0.00990935639061516
"116",6,62.5,0.00892588767700917
"117",6,56.25,0.0178074351145018
"118",6,75,0.0178392442878137
"119",6,50,0.023890406800929
"120",6,50,0.0272910641794825
"121",6,68.75,0.00508221336565808
"122",6,62.5,0.00694370326835364
"123",6,68.75,0.00314914662454172
"124",6,81.25,0.00569457568271793
"125",6,68.75,0.00319750770744175
"126",6,62.5,0.0113318564230364
"127",6,68.75,0.00456279414276842
"128",6,50,0.0117203923341677
"129",6,75,0.00362123668323074
"130",6,68.75,0.0254223550556248
"131",6,56.25,0.0366989488608468
"132",6,62.5,0.0192872957918274
"133",6,50,0.0088558005269908
"134",6,68.75,0.0023820632169683
"135",6,56.25,0.00516512088815911
"136",6,62.5,0.0329164275180797
"137",6,62.5,0.00549460343185198
"138",6,62.5,0.00938587826963357
"139",6,75,0.00411094450748727
"140",6,56.25,0.00417892059655213
"141",6,56.25,0.0357738341606977
"142",6,56.25,0.028765451847609
"143",6,50,0.0170867071970325
"144",6,50,0.0158665916427239
"145",6,56.25,0.024952972161817
"146",6,56.25,0.0260037320138424
"147",6,43.75,0.00389934516056015
"148",6,75,0.0242350414853897
