"","cor","beta_sse"
"1",0.1,0.00421145875718252
"2",0.1,0.00271484336359897
"3",0.1,0.0016757909417542
"4",0.1,0.00595096909890449
"5",0.1,0.00193191506669512
"6",0.1,0.00404268708102393
"7",0.1,0.00251208799261324
"8",0.1,0.00273197923357366
"9",0.1,0.0033775141014782
"10",0.1,0.00211820780769464
"11",0.1,0.00382805239078243
"12",0.1,0.00347273495966658
"13",0.1,0.00367601989461732
"14",0.1,0.00290963416792016
"15",0.1,0.00248502590670671
"16",0.1,0.00317744188294063
"17",0.1,0.0041792059495385
"18",0.1,0.00405233134927869
"19",0.1,0.00456277356645798
"20",0.1,0.00388710777467983
"21",0.1,0.00445476711018195
"22",0.1,0.00267833093284798
"23",0.1,0.00398684190726358
"24",0.1,0.00348662089623308
"25",0.1,0.0035908760573002
"26",0.1,0.00263501693182972
"27",0.1,0.00375755694263863
"28",0.1,0.00410381008617406
"29",0.1,0.0052390667855881
"30",0.1,0.00278879796928587
"31",0.1,0.00394035567979492
"32",0.1,0.00651035906816298
"33",0.1,0.00399198133177677
"34",0.1,0.00304043524702832
"35",0.1,0.00447065216904373
"36",0.1,0.00532667885807972
"37",0.1,0.00448699410328552
"38",0.1,0.00251119543579799
"39",0.1,0.0037322417913761
"40",0.1,0.00245602108070366
"41",0.1,0.00436630184470236
"42",0.1,0.00601358236549021
"43",0.1,0.00412480998148646
"44",0.1,0.00492193110245533
"45",0.1,0.00293564886175391
"46",0.1,0.00420998580486046
"47",0.1,0.00570128008428968
"48",0.1,0.00503057697958463
"49",0.1,0.0022380627104152
"50",0.1,0.00525791370121795
"51",0.1,0.00321117029679331
"52",0.1,0.00519451216234902
"53",0.1,0.00277225341548413
"54",0.1,0.00444628895927545
"55",0.1,0.00252221512381884
"56",0.1,0.00541988526089934
"57",0.1,0.00322734731292377
"58",0.1,0.00242284774060381
"59",0.1,0.00488459201279668
"60",0.1,0.00383635856877027
"61",0.1,0.00280847742824728
"62",0.1,0.00366366642468224
"63",0.1,0.00405267625254212
"64",0.1,0.00358986808899057
"65",0.1,0.003903677271046
"66",0.1,0.00367666256174766
"67",0.1,0.00361153304958234
"68",0.1,0.00322588896793679
"69",0.1,0.00470272609889095
"70",0.1,0.005126528577802
