"","c.val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"210",5,100,60,50,0,64
"211",5,100,90,60,0,80
"212",5,100,70,40,0,64
"213",5,100,50,30,0,52
"214",5,100,80,40,0,68
"215",5,100,80,40,0,68
"216",5,100,70,40,0,64
"217",5,100,80,60,0,76
"218",5,100,90,50,6.66666666666667,76
"219",5,100,80,70,6.66666666666667,80
"220",5,100,40,50,0,56
"221",5,100,90,50,0,76
"222",5,100,80,40,0,68
"223",5,100,80,60,0,76
"224",5,100,60,40,0,60
"225",5,100,60,50,0,64
"226",5,100,50,40,0,56
"227",5,100,50,70,0,68
"228",5,100,70,50,13.3333333333333,68
"229",5,100,30,50,0,52
"230",5,100,50,40,0,56
"231",5,100,60,50,0,64
"232",5,100,50,40,0,56
"233",5,100,50,50,0,60
"234",5,100,50,30,0,52
"235",5,100,70,70,0,76
"236",5,100,80,70,0,80
"237",5,100,90,50,0,76
"238",5,100,40,30,0,48
"239",5,100,50,60,0,64
"240",5,100,60,40,0,60
"241",5,100,80,50,0,72
"242",5,100,60,40,0,60
"243",5,100,70,40,0,64
"244",5,100,30,60,0,56
"245",5,100,70,50,0,68
"246",5,100,50,60,0,64
"247",5,100,80,40,0,68
"248",5,100,40,60,0,60
"249",5,100,50,50,0,60
"250",5,100,70,40,0,64
"251",5,100,70,70,0,76
"252",5,100,80,50,0,72
"253",5,100,30,40,0,48
"254",5,100,70,70,0,76
"255",5,100,60,50,0,64
"256",5,100,70,50,0,68
"257",5,100,50,40,0,56
"258",5,100,70,80,6.66666666666667,80
"259",5,100,80,70,0,80
"260",5,100,60,50,0,64
"261",5,100,90,60,0,80
"262",5,100,40,50,0,56
"263",5,100,20,30,0,40
"264",5,100,60,60,13.3333333333333,68
"265",5,100,50,60,0,64
"266",5,100,70,60,0,72
"267",5,100,40,60,0,60
"268",5,100,50,50,0,60
"269",5,100,60,60,0,68
"270",5,100,60,60,0,68
"271",5,100,100,50,0,80
"272",5,100,40,50,0,56
"273",5,100,70,60,0,72
"274",5,100,50,50,0,60
"275",5,100,80,60,0,76
"276",5,100,60,60,0,68
"277",5,100,40,50,0,56
"278",5,100,60,60,0,68
