"","wbc_num","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"1",2,100,100,100,13.0434782608696,100
"2",2,60,80,100,8.69565217391304,76.4705882352941
"3",2,100,70,100,8.69565217391304,82.3529411764706
"4",2,100,70,100,13.0434782608696,82.3529411764706
"5",2,100,70,100,26.0869565217391,82.3529411764706
"6",2,100,70,100,4.34782608695652,82.3529411764706
"7",2,100,60,100,13.0434782608696,76.4705882352941
"8",2,100,80,100,17.3913043478261,88.2352941176471
"9",2,100,90,100,13.0434782608696,94.1176470588235
"10",2,100,90,100,8.69565217391304,94.1176470588235
"11",2,100,60,100,4.34782608695652,76.4705882352941
"12",2,100,70,100,17.3913043478261,82.3529411764706
"13",2,100,70,100,13.0434782608696,82.3529411764706
"14",2,100,80,100,17.3913043478261,88.2352941176471
"15",2,100,50,100,26.0869565217391,70.5882352941177
"16",2,100,90,100,17.3913043478261,94.1176470588235
"17",2,80,90,100,8.69565217391304,88.2352941176471
"18",2,100,80,100,8.69565217391304,88.2352941176471
"19",2,100,90,100,4.34782608695652,94.1176470588235
"20",2,100,70,100,13.0434782608696,82.3529411764706
"21",2,100,70,100,13.0434782608696,82.3529411764706
"22",2,100,90,100,30.4347826086957,94.1176470588235
"23",2,100,70,100,21.7391304347826,82.3529411764706
"24",2,100,60,100,13.0434782608696,76.4705882352941
"25",2,100,70,100,17.3913043478261,82.3529411764706
"26",2,100,80,0,4.34782608695652,76.4705882352941
"27",2,100,90,100,13.0434782608696,94.1176470588235
"28",2,100,90,100,26.0869565217391,94.1176470588235
"29",2,100,70,100,0,82.3529411764706
"30",2,100,40,100,8.69565217391304,64.7058823529412
"31",2,100,60,100,21.7391304347826,76.4705882352941
"32",2,100,70,100,26.0869565217391,82.3529411764706
"33",2,100,80,100,21.7391304347826,88.2352941176471
"34",2,100,80,100,4.34782608695652,88.2352941176471
"35",2,60,80,100,13.0434782608696,76.4705882352941
"36",2,100,90,100,21.7391304347826,94.1176470588235
"37",2,100,90,100,8.69565217391304,94.1176470588235
"38",2,100,80,100,4.34782608695652,88.2352941176471
"39",2,100,90,100,13.0434782608696,94.1176470588235
"40",2,100,70,100,17.3913043478261,82.3529411764706
"41",2,100,80,100,4.34782608695652,88.2352941176471
"42",2,100,70,100,8.69565217391304,82.3529411764706
"43",2,60,70,100,26.0869565217391,70.5882352941177
"44",2,100,80,100,0,88.2352941176471
"45",2,100,80,100,8.69565217391304,88.2352941176471
"46",2,100,80,100,13.0434782608696,88.2352941176471
"47",2,100,70,100,26.0869565217391,82.3529411764706
"48",2,100,60,100,17.3913043478261,76.4705882352941
"49",2,100,80,100,8.69565217391304,88.2352941176471
"50",2,100,90,100,13.0434782608696,94.1176470588235
"51",2,100,80,100,4.34782608695652,88.2352941176471
"52",2,100,90,100,8.69565217391304,94.1176470588235
"53",2,100,80,100,13.0434782608696,88.2352941176471
"54",2,100,70,100,21.7391304347826,82.3529411764706
"55",2,100,80,100,13.0434782608696,88.2352941176471
"56",2,100,90,100,21.7391304347826,94.1176470588235
"57",2,100,70,100,26.0869565217391,82.3529411764706
"58",2,100,90,100,26.0869565217391,94.1176470588235
"59",2,100,90,100,17.3913043478261,94.1176470588235
"60",2,100,70,100,17.3913043478261,82.3529411764706
"61",2,100,90,100,26.0869565217391,94.1176470588235
"62",2,100,60,100,17.3913043478261,76.4705882352941
"63",2,100,90,100,21.7391304347826,94.1176470588235
"64",2,100,90,100,13.0434782608696,94.1176470588235
"65",2,100,70,100,21.7391304347826,82.3529411764706
"66",2,100,50,100,13.0434782608696,70.5882352941177
"67",2,100,40,100,26.0869565217391,64.7058823529412
"68",2,100,80,100,8.69565217391304,88.2352941176471
"69",2,100,60,0,13.0434782608696,64.7058823529412
"70",2,100,90,100,39.1304347826087,94.1176470588235
"71",2,100,70,100,21.7391304347826,82.3529411764706
"72",2,100,70,100,8.69565217391304,82.3529411764706
"73",2,100,80,100,17.3913043478261,88.2352941176471
"74",2,100,80,100,13.0434782608696,88.2352941176471
"75",2,100,70,100,30.4347826086957,82.3529411764706
"76",2,100,70,100,8.69565217391304,82.3529411764706
"77",2,100,80,100,13.0434782608696,88.2352941176471
"78",2,100,60,100,8.69565217391304,76.4705882352941
"79",2,100,100,100,13.0434782608696,100
"80",2,100,90,100,26.0869565217391,94.1176470588235
"81",2,100,80,100,26.0869565217391,88.2352941176471
"82",2,100,100,100,13.0434782608696,100
"83",2,100,90,100,34.7826086956522,94.1176470588235
"84",2,100,70,100,26.0869565217391,82.3529411764706
"85",2,100,60,100,17.3913043478261,76.4705882352941
"86",2,100,70,100,17.3913043478261,82.3529411764706
"87",2,100,70,100,13.0434782608696,82.3529411764706
"88",2,100,80,100,17.3913043478261,88.2352941176471
"89",2,100,60,100,8.69565217391304,76.4705882352941
"90",2,100,70,100,8.69565217391304,82.3529411764706
"91",2,100,50,100,17.3913043478261,70.5882352941177
"92",2,100,90,100,8.69565217391304,94.1176470588235
"93",2,100,80,100,17.3913043478261,88.2352941176471
"94",2,100,70,100,26.0869565217391,82.3529411764706
"95",2,100,80,100,13.0434782608696,88.2352941176471
"96",2,100,60,100,13.0434782608696,76.4705882352941
"97",2,100,70,100,13.0434782608696,82.3529411764706
"98",2,100,80,100,17.3913043478261,88.2352941176471
"99",2,100,80,100,4.34782608695652,88.2352941176471
"100",2,100,90,100,17.3913043478261,94.1176470588235
"101",6,100,100,33.3333333333333,26.3157894736842,80.9523809523809
"102",6,100,60,33.3333333333333,5.26315789473684,61.9047619047619
"103",6,100,80,50,15.7894736842105,76.1904761904762
"104",6,100,80,33.3333333333333,26.3157894736842,71.4285714285714
"105",6,100,70,16.6666666666667,10.5263157894737,61.9047619047619
"106",6,100,100,50,15.7894736842105,85.7142857142857
"107",6,100,100,66.6666666666667,10.5263157894737,90.4761904761905
"108",6,100,90,33.3333333333333,21.0526315789474,76.1904761904762
"109",6,20,80,100,15.7894736842105,71.4285714285714
"110",6,100,60,50,15.7894736842105,66.6666666666667
"111",6,100,60,33.3333333333333,5.26315789473684,61.9047619047619
"112",6,100,80,33.3333333333333,0,71.4285714285714
"113",6,100,90,50,0,80.9523809523809
"114",6,100,60,33.3333333333333,31.5789473684211,61.9047619047619
"115",6,40,80,100,21.0526315789474,76.1904761904762
"116",6,100,60,33.3333333333333,5.26315789473684,61.9047619047619
