"","wbc_num","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"1",2,80,60,100,0,70.5882352941177
"2",2,40,0,100,0,23.5294117647059
"3",2,60,0,100,0,29.4117647058824
"4",2,60,10,100,0,35.2941176470588
"5",2,60,20,100,0,41.1764705882353
"6",2,80,10,100,4.34782608695652,41.1764705882353
"7",2,80,50,100,0,64.7058823529412
"8",2,60,0,100,0,29.4117647058824
"9",2,80,60,100,0,70.5882352941177
"10",2,80,40,100,0,58.8235294117647
"11",2,60,10,100,0,35.2941176470588
"12",2,40,10,100,0,29.4117647058824
"13",2,40,20,100,0,35.2941176470588
"14",2,60,20,100,0,41.1764705882353
"15",2,80,30,100,0,52.9411764705882
"16",2,60,30,100,0,47.0588235294118
"17",2,40,10,100,0,29.4117647058824
"18",2,60,40,100,0,52.9411764705882
"19",2,80,50,100,0,64.7058823529412
"20",2,100,60,100,13.0434782608696,76.4705882352941
"21",2,80,30,100,0,52.9411764705882
"22",2,60,0,100,0,29.4117647058824
"23",2,80,50,100,0,64.7058823529412
"24",2,80,10,100,0,41.1764705882353
"25",2,0,0,100,0,11.7647058823529
"26",2,60,40,100,0,52.9411764705882
"27",2,80,60,100,0,70.5882352941177
"28",2,60,40,100,0,52.9411764705882
"29",2,80,60,100,0,70.5882352941177
"30",2,80,40,100,0,58.8235294117647
"31",2,60,10,100,0,35.2941176470588
"32",2,60,0,100,0,29.4117647058824
"33",2,60,30,100,0,47.0588235294118
"34",2,80,70,100,4.34782608695652,76.4705882352941
"35",2,80,0,100,0,35.2941176470588
"36",2,80,60,100,0,70.5882352941177
"37",2,80,70,100,4.34782608695652,76.4705882352941
"38",2,80,50,100,0,64.7058823529412
"39",2,80,80,100,0,82.3529411764706
"40",2,60,10,100,0,35.2941176470588
"41",2,80,40,100,0,58.8235294117647
"42",2,80,60,100,8.69565217391304,70.5882352941177
"43",2,40,70,100,0,64.7058823529412
"44",2,60,20,100,0,41.1764705882353
"45",2,40,30,100,0,41.1764705882353
"46",2,80,40,100,4.34782608695652,58.8235294117647
"47",2,80,30,100,0,52.9411764705882
"48",2,60,10,100,0,35.2941176470588
"49",2,80,70,100,0,76.4705882352941
"50",2,80,60,100,8.69565217391304,70.5882352941177
"51",2,80,30,100,0,52.9411764705882
"52",2,80,50,100,0,64.7058823529412
"53",2,80,50,100,4.34782608695652,64.7058823529412
"54",2,100,70,100,17.3913043478261,82.3529411764706
"55",2,80,10,100,0,41.1764705882353
"56",2,60,0,100,0,29.4117647058824
"57",2,20,30,100,0,35.2941176470588
