"","cor_val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"131",0.3,100,60,60,0,68
"132",0.3,100,60,30,0,56
"133",0.3,100,50,40,6.66666666666667,56
"134",0.3,100,80,50,13.3333333333333,72
"135",0.3,100,60,40,13.3333333333333,60
"136",0.3,100,90,40,13.3333333333333,72
"137",0.3,100,60,30,20,56
"138",0.3,100,100,60,13.3333333333333,84
"139",0.3,100,70,40,6.66666666666667,64
"140",0.3,100,90,70,6.66666666666667,84
"141",0.3,100,80,30,13.3333333333333,64
"142",0.3,100,60,40,33.3333333333333,60
"143",0.3,100,60,40,13.3333333333333,60
"144",0.3,100,70,50,6.66666666666667,68
"145",0.3,100,80,30,6.66666666666667,64
"146",0.3,100,80,50,6.66666666666667,72
"147",0.3,100,60,60,20,68
"148",0.3,100,70,40,0,64
"149",0.3,100,70,50,13.3333333333333,68
"150",0.3,100,70,30,20,60
"151",0.3,100,70,50,0,68
"152",0.3,100,70,60,6.66666666666667,72
"153",0.3,100,80,20,26.6666666666667,60
"154",0.3,100,90,50,26.6666666666667,76
"155",0.3,100,80,60,0,76
"156",0.3,100,70,30,20,60
"157",0.3,100,80,50,6.66666666666667,72
"158",0.3,100,90,40,26.6666666666667,72
"159",0.3,100,70,20,6.66666666666667,56
"160",0.3,100,70,30,13.3333333333333,60
"161",0.3,100,60,20,13.3333333333333,52
"162",0.3,100,80,20,13.3333333333333,60
"163",0.3,100,70,50,13.3333333333333,68
"164",0.3,100,80,30,13.3333333333333,64
"165",0.3,100,80,30,13.3333333333333,64
"166",0.3,100,80,40,13.3333333333333,68
"167",0.3,100,80,30,6.66666666666667,64
"168",0.3,100,60,50,6.66666666666667,64
"169",0.3,100,80,50,6.66666666666667,72
"170",0.3,100,70,30,33.3333333333333,60
"171",0.3,100,100,30,20,72
"172",0.3,100,90,60,33.3333333333333,80
"173",0.3,100,100,40,6.66666666666667,76
"174",0.3,100,90,40,13.3333333333333,72
"175",0.3,100,80,50,13.3333333333333,72
"176",0.3,100,90,30,13.3333333333333,68
"177",0.3,100,50,60,20,64
"178",0.3,100,60,40,26.6666666666667,60
"179",0.3,100,80,50,20,72
"180",0.3,100,80,50,0,72
"181",0.3,100,70,50,13.3333333333333,68
"182",0.3,100,70,40,20,64
"183",0.3,100,70,30,6.66666666666667,60
"184",0.3,100,90,50,0,76
"185",0.3,100,70,40,13.3333333333333,64
"186",0.3,100,70,50,26.6666666666667,68
"187",0.3,100,80,60,6.66666666666667,76
"188",0.3,100,60,30,6.66666666666667,56
"189",0.3,100,100,40,6.66666666666667,76
"190",0.3,100,40,40,26.6666666666667,52
"191",0.3,100,80,40,20,68
"192",0.3,100,70,30,13.3333333333333,60
"193",0.3,100,80,50,13.3333333333333,72
"194",0.3,100,70,50,6.66666666666667,68
"195",0.3,100,90,50,13.3333333333333,76
"196",0.3,100,60,50,13.3333333333333,64
"197",0.3,100,50,20,20,48
"198",0.3,100,80,50,13.3333333333333,72
"199",0.3,100,80,60,20,76
"200",0.3,100,90,20,6.66666666666667,64
"201",0.5,100,80,50,0,72
"202",0.5,100,90,50,13.3333333333333,76
"203",0.5,100,80,30,6.66666666666667,64
"204",0.5,100,70,40,6.66666666666667,64
"205",0.5,100,60,70,33.3333333333333,72
"206",0.5,100,90,40,6.66666666666667,72
"207",0.5,100,70,50,6.66666666666667,68
"208",0.5,100,70,40,33.3333333333333,64
"209",0.5,100,80,40,13.3333333333333,68
"210",0.5,100,70,20,20,56
"211",0.5,100,90,20,6.66666666666667,64
"212",0.5,100,90,50,6.66666666666667,76
"213",0.5,100,90,30,20,68
"214",0.5,100,80,50,20,72
"215",0.5,100,60,40,20,60
"216",0.5,100,80,40,26.6666666666667,68
"217",0.5,100,80,50,13.3333333333333,72
"218",0.5,100,90,50,6.66666666666667,76
"219",0.5,100,50,30,13.3333333333333,52
"220",0.5,100,70,60,20,72
"221",0.5,100,70,50,0,68
"222",0.5,100,70,20,26.6666666666667,56
"223",0.5,100,60,40,13.3333333333333,60
