"","cor_val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"160",0.3,100,20,20,0,36
"161",0.3,100,60,50,0,64
"162",0.3,100,40,40,0,52
"163",0.3,100,60,60,6.66666666666667,68
"164",0.3,100,70,40,0,64
"165",0.3,100,40,40,0,52
"166",0.3,100,40,60,0,60
"167",0.3,100,90,60,0,80
"168",0.3,100,30,40,0,48
"169",0.3,100,0,30,0,32
"170",0.3,100,20,30,0,40
"171",0.3,100,80,40,0,68
"172",0.3,100,30,40,0,48
"173",0.3,100,40,30,0,48
"174",0.3,100,50,30,0,52
"175",0.3,100,30,10,0,36
"176",0.3,100,40,60,0,60
"177",0.3,100,80,70,0,80
"178",0.3,100,50,50,0,60
"179",0.3,100,20,30,0,40
"180",0.3,100,40,20,0,44
"181",0.3,100,30,40,0,48
"182",0.3,100,10,30,0,36
"183",0.3,100,30,30,0,44
"184",0.3,100,0,20,0,28
"185",0.3,100,60,30,0,56
"186",0.3,100,30,40,0,48
"187",0.3,100,30,10,0,36
"188",0.3,100,20,40,0,44
"189",0.3,100,10,40,0,40
"190",0.3,100,10,30,0,36
"191",0.3,100,30,20,0,40
"192",0.3,100,10,40,0,40
"193",0.3,100,50,50,0,60
"194",0.3,100,40,40,6.66666666666667,52
"195",0.3,100,90,60,0,80
"196",0.3,100,40,40,0,52
"197",0.3,100,40,40,0,52
"198",0.3,100,20,30,0,40
"199",0.3,100,60,60,0,68
"200",0.3,100,40,40,0,52
"201",0.5,100,10,40,0,40
"202",0.5,100,10,40,0,40
"203",0.5,100,50,50,0,60
"204",0.5,100,0,10,0,24
"205",0.5,100,20,30,0,40
"206",0.5,100,0,30,0,32
"207",0.5,100,10,40,0,40
"208",0.5,100,0,0,0,20
"209",0.5,100,40,20,0,44
"210",0.5,100,40,40,0,52
"211",0.5,100,70,60,0,72
"212",0.5,100,30,50,0,52
"213",0.5,100,30,20,0,40
"214",0.5,100,10,40,0,40
"215",0.5,100,60,50,6.66666666666667,64
"216",0.5,100,70,40,0,64
"217",0.5,100,20,20,0,36
"218",0.5,100,30,30,0,44
"219",0.5,100,30,40,0,48
"220",0.5,100,30,20,0,40
"221",0.5,100,0,20,0,28
"222",0.5,100,0,10,0,24
"223",0.5,100,30,40,0,48
"224",0.5,100,20,30,0,40
"225",0.5,100,40,40,0,52
"226",0.5,100,20,30,0,40
"227",0.5,100,40,20,0,44
"228",0.5,100,20,40,0,44
"229",0.5,100,10,30,0,36
"230",0.5,100,40,40,0,52
"231",0.5,100,60,60,0,68
"232",0.5,100,20,20,0,36
"233",0.5,100,40,30,0,48
"234",0.5,100,20,30,0,40
"235",0.5,100,70,30,0,60
"236",0.5,100,30,20,0,40
"237",0.5,100,10,10,0,28
"238",0.5,100,0,10,0,24
