"","wai_vec","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"1",2,100,100,30,21.7391304347826,58.8235294117647
"2",2,100,100,40,13.0434782608696,64.7058823529412
"3",2,100,100,50,8.69565217391304,70.5882352941177
"4",2,100,100,30,4.34782608695652,58.8235294117647
"5",2,100,50,60,17.3913043478261,70.5882352941177
"6",2,100,100,40,8.69565217391304,64.7058823529412
"7",2,100,100,40,4.34782608695652,64.7058823529412
"8",2,100,100,50,8.69565217391304,70.5882352941177
"9",2,100,50,50,4.34782608695652,64.7058823529412
"10",2,100,50,40,4.34782608695652,58.8235294117647
"11",2,100,0,40,4.34782608695652,52.9411764705882
"12",2,100,100,40,21.7391304347826,64.7058823529412
"13",2,100,50,30,13.0434782608696,52.9411764705882
"14",2,100,50,30,13.0434782608696,52.9411764705882
"15",2,100,50,30,26.0869565217391,52.9411764705882
"16",2,100,100,40,8.69565217391304,64.7058823529412
"17",2,100,100,50,17.3913043478261,70.5882352941177
"18",2,100,100,30,17.3913043478261,58.8235294117647
"19",2,100,50,30,4.34782608695652,52.9411764705882
"20",2,100,100,50,13.0434782608696,70.5882352941177
"21",2,100,100,60,21.7391304347826,76.4705882352941
"22",2,100,100,40,21.7391304347826,64.7058823529412
"23",2,100,50,50,13.0434782608696,64.7058823529412
"24",2,100,0,60,13.0434782608696,64.7058823529412
"25",2,100,100,40,21.7391304347826,64.7058823529412
"26",2,100,100,50,26.0869565217391,70.5882352941177
"27",2,100,100,50,13.0434782608696,70.5882352941177
"28",2,100,100,50,17.3913043478261,70.5882352941177
"29",2,100,50,50,4.34782608695652,64.7058823529412
"30",2,100,0,40,8.69565217391304,52.9411764705882
"31",2,100,50,70,13.0434782608696,76.4705882352941
"32",2,100,50,40,21.7391304347826,58.8235294117647
"33",2,100,100,60,13.0434782608696,76.4705882352941
"34",2,100,50,40,8.69565217391304,58.8235294117647
"35",2,100,0,30,8.69565217391304,47.0588235294118
"36",2,100,100,30,21.7391304347826,58.8235294117647
"37",2,100,100,20,17.3913043478261,52.9411764705882
"38",2,100,100,30,0,58.8235294117647
"39",2,100,100,40,34.7826086956522,64.7058823529412
"40",2,100,50,30,21.7391304347826,52.9411764705882
"41",2,100,100,40,0,64.7058823529412
"42",2,100,100,50,21.7391304347826,70.5882352941177
"43",2,100,100,50,17.3913043478261,70.5882352941177
"44",2,100,100,40,13.0434782608696,64.7058823529412
"45",2,100,50,40,17.3913043478261,58.8235294117647
"46",2,100,100,30,8.69565217391304,58.8235294117647
"47",2,100,50,50,17.3913043478261,64.7058823529412
"48",2,100,50,70,26.0869565217391,76.4705882352941
"49",2,100,100,30,21.7391304347826,58.8235294117647
