"","wai_vec","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"1",2,100,0,10,0,35.2941176470588
"2",2,100,0,10,0,35.2941176470588
"3",2,100,0,10,0,35.2941176470588
"4",2,100,0,10,0,35.2941176470588
"5",2,100,0,20,0,41.1764705882353
"6",2,100,0,30,0,47.0588235294118
"7",2,100,50,50,0,64.7058823529412
"8",2,100,0,0,0,29.4117647058824
"9",2,100,50,50,0,64.7058823529412
"10",2,100,0,20,0,41.1764705882353
"11",2,100,0,30,0,47.0588235294118
"12",2,100,100,20,0,52.9411764705882
"13",2,100,50,20,0,47.0588235294118
"14",2,100,50,10,0,41.1764705882353
"15",2,100,0,10,0,35.2941176470588
"16",2,100,0,20,0,41.1764705882353
"17",2,100,0,20,0,41.1764705882353
"18",2,100,0,20,0,41.1764705882353
"19",2,100,0,10,0,35.2941176470588
"20",2,100,50,60,4.34782608695652,70.5882352941177
"21",2,100,50,30,0,52.9411764705882
"22",2,100,50,10,0,41.1764705882353
"23",2,100,0,20,0,41.1764705882353
"24",2,100,0,40,0,52.9411764705882
"25",2,100,0,20,0,41.1764705882353
"26",2,100,100,20,0,52.9411764705882
"27",2,100,50,30,0,52.9411764705882
"28",2,100,0,20,0,41.1764705882353
"29",2,100,0,40,0,52.9411764705882
"30",2,100,0,30,0,47.0588235294118
"31",2,100,0,30,0,47.0588235294118
"32",2,100,0,20,0,41.1764705882353
"33",2,100,50,20,0,47.0588235294118
"34",2,100,50,60,0,70.5882352941177
"35",2,100,0,30,0,47.0588235294118
"36",2,100,0,10,0,35.2941176470588
"37",2,100,0,10,0,35.2941176470588
"38",2,100,0,30,0,47.0588235294118
"39",2,100,0,20,0,41.1764705882353
"40",2,100,0,20,0,41.1764705882353
"41",2,100,0,40,0,52.9411764705882
"42",2,100,50,10,0,41.1764705882353
"43",2,100,0,30,0,47.0588235294118
"44",2,100,50,30,0,52.9411764705882
"45",2,100,0,30,0,47.0588235294118
"46",2,100,0,20,0,41.1764705882353
"47",2,100,0,10,0,35.2941176470588
"48",2,100,0,30,0,47.0588235294118
"49",2,100,100,30,0,58.8235294117647
"50",2,100,50,40,0,58.8235294117647
"51",2,100,0,30,0,47.0588235294118
"52",2,100,0,40,0,52.9411764705882
"53",2,100,50,40,0,58.8235294117647
"54",2,100,50,50,4.34782608695652,64.7058823529412
"55",2,100,0,20,0,41.1764705882353
"56",2,100,50,20,0,47.0588235294118
"57",2,100,0,40,0,52.9411764705882
"58",2,100,50,30,0,52.9411764705882
"59",2,100,50,20,0,47.0588235294118
"60",2,100,0,20,0,41.1764705882353
"61",2,100,0,20,0,41.1764705882353
"62",2,100,50,40,0,58.8235294117647
